length_url,domain_length,directory_length,file_length,params_length,qty_slash_url,qty_dot_url,domain_in_ip,qty_at_url,asn_ip,time_domain_activation,time_domain_expiration,qty_hyphen_url,url_google_index,url_shortened,phishing
37,19,10,0,-1,3,3,0,0,32244,-1,45,0,1,0,0
77,23,14,32,-1,5,1,1,0,16509,5767,77,0,1,0,1
126,50,19,0,47,5,4,1,0,-1,4004,14,1,1,0,1
18,11,-1,-1,-1,2,2,0,0,55824,-1,62,0,0,0,0
55,15,32,0,-1,5,2,0,0,14618,8175,224,2,0,0,0
32,24,0,0,-1,3,3,0,0,-1,-1,0,1,1,0,1
19,12,-1,-1,-1,2,2,0,0,13335,7529,170,0,0,0,0
81,27,14,32,-1,5,2,1,0,16509,5767,76,0,1,0,1
42,34,0,0,-1,3,2,0,0,15169,7298,371,0,0,1,0
104,10,85,0,-1,6,1,0,0,54113,9368,128,10,0,0,0
56,22,14,11,-1,4,3,0,0,16509,-1,0,0,0,0,0
43,16,18,0,-1,3,2,0,0,54113,7911,489,3,0,0,0
83,14,60,0,-1,4,1,0,0,13335,1505,320,9,0,0,0
31,10,13,0,-1,3,2,0,0,14061,1761,66,0,1,0,1
25,16,0,0,-1,3,2,0,0,13335,2041,880,0,0,0,0
51,23,6,0,13,4,3,0,0,-1,3892,490,0,0,0,1
31,22,0,0,-1,3,2,0,0,16509,8301,3069,0,0,1,0
50,21,15,6,-1,5,2,0,0,-1,2316,1337,0,1,0,1
34,23,3,0,-1,4,2,0,0,16509,2935,352,0,1,0,1
27,19,0,0,-1,3,2,0,0,46844,3932,451,0,0,0,0
63,14,41,0,-1,7,3,0,0,20940,8759,70,2,0,0,0
66,16,10,31,-1,4,2,0,0,13335,5647,926,4,0,1,0
40,11,16,5,-1,5,2,0,0,-1,1184,277,0,1,0,1
48,16,6,18,-1,4,1,0,0,15169,3476,541,3,0,0,0
126,50,3,15,49,4,4,1,0,-1,3993,25,1,1,0,1
41,32,0,0,-1,3,2,0,0,-1,7296,373,0,1,1,1
36,27,0,0,-1,3,2,0,0,396982,6989,315,0,0,0,0
72,24,40,0,-1,5,2,0,0,13335,4845,634,7,0,0,0
68,42,3,15,-1,4,4,1,0,-1,3993,25,0,1,0,1
163,14,31,0,-1,3,4,1,1,-1,-1,0,9,1,0,1
26,18,0,0,-1,3,2,0,0,13335,1170,290,0,0,0,0
64,17,7,32,-1,4,2,1,0,-1,1237,224,0,1,0,1
36,28,0,0,-1,3,4,1,0,-1,5627,217,0,1,1,1
61,14,25,14,-1,6,2,0,0,63760,3767,251,0,1,1,1
66,17,9,5,25,4,2,1,0,34010,9316,911,0,0,0,0
35,26,0,0,-1,3,2,0,0,30148,7849,125,0,0,0,0
113,24,72,9,-1,10,5,0,0,-1,3920,97,0,0,0,1
41,34,-1,-1,-1,2,2,0,0,2635,5159,1049,4,0,0,0
