length_url,domain_length,directory_length,file_length,params_length,qty_slash_url,qty_dot_url,domain_in_ip,qty_at_url,asn_ip,time_domain_activation,time_domain_expiration,qty_hyphen_url,url_google_index,url_shortened,phishing
14,14,-1,-1,-1,0,2,0,0,8560,4927,185,0,0,0,0
38,32,6,0,-1,2,4,0,0,263283,8217,-1,0,0,0,0
24,23,1,0,-1,1,1,0,0,26496,258,106,0,0,0,0
38,25,13,0,-1,3,2,0,0,20013,2602,319,0,0,0,1
46,19,27,0,-1,4,1,0,0,41828,-1,-1,1,0,0,1
45,17,28,4,-1,4,1,0,0,20013,4930,182,1,0,0,1
32,14,18,4,-1,3,1,0,0,12301,6344,-1,0,0,0,1
29,29,-1,-1,-1,0,2,0,0,15169,-1,-1,0,0,0,0
18,12,6,0,-1,2,2,0,0,63410,-1,-1,0,0,0,1
11,10,1,0,-1,1,1,0,0,31624,-1,-1,0,0,0,0
34,15,19,9,-1,4,2,0,0,27310,4608,139,0,0,0,1
21,16,5,0,-1,2,1,0,0,263753,4355,2974,0,0,0,0
32,21,11,10,-1,1,3,0,0,16276,-1,-1,0,0,0,1
19,19,-1,-1,-1,0,1,0,0,46606,2355,200,0,0,0,0
31,25,6,0,-1,2,3,0,0,16509,-1,-1,1,0,0,1
29,13,16,0,-1,2,2,0,0,26496,762,698,0,0,0,1
14,14,-1,-1,-1,0,2,0,0,133618,6060,148,0,0,0,0
16,16,-1,-1,-1,0,2,0,0,54113,7073,597,0,0,0,0
12,11,1,0,-1,1,1,0,0,1742,8544,3144,0,0,0,0
16,16,-1,-1,-1,0,2,0,0,-1,7166,3060,0,0,0,0
107,22,85,78,-1,2,2,0,0,15133,4956,156,7,0,0,0
22,19,1,0,2,1,1,0,0,13335,133,231,0,0,0,1
17,17,-1,-1,-1,0,2,0,0,24940,3348,1764,0,0,0,0
11,10,1,0,-1,1,1,0,0,6789,1323,868,1,0,0,0
46,11,35,9,-1,4,2,0,0,51559,2252,303,0,0,0,1
228,11,53,7,164,16,7,0,0,198610,1363,97,3,0,0,1
204,25,48,23,131,4,4,0,0,32748,-1,-1,0,0,0,1
16,10,6,5,-1,1,1,0,0,22612,-1,230,0,0,0,1
17,17,-1,-1,-1,0,2,0,0,55720,387,342,0,0,0,0
28,27,1,0,-1,1,1,0,0,13335,2518,38,0,0,0,0
15,15,-1,-1,-1,0,2,0,0,20940,8766,363,0,0,0,0
44,16,28,0,-1,3,2,0,0,15169,-1,-1,0,0,0,1
144,24,47,7,73,6,6,0,0,26496,3432,219,0,0,0,1
20,20,-1,-1,-1,0,3,0,0,54113,-1,-1,0,0,0,0
29,29,-1,-1,-1,0,3,0,0,15169,-1,-1,0,0,0,0
40,16,24,10,-1,2,2,0,0,5602,2917,85,0,0,0,1
37,17,20,14,-1,2,1,0,0,20013,2033,157,0,0,0,1
34,18,16,8,-1,2,1,0,0,-1,36,328,3,0,0,1
69,17,34,9,18,5,3,0,1,46606,1131,329,0,0,0,1
28,14,14,9,-1,2,3,0,0,25577,3457,1655,0,0,0,1
85,18,67,0,-1,4,2,0,0,20940,3671,1806,7,0,0,0
50,36,14,13,-1,1,3,0,0,-1,-1,-1,2,0,0,0
33,33,-1,-1,-1,0,4,0,0,20013,8283,-1,0,0,0,0
